variant_id,卡名,collector_number,tcg,最佳板位,板,C1_白角,C2_係咪嗰張卡,C3_走位白邊,原生透明圓角,畫布,白角三角白佔,邊緣斜率px,內環白佔,原因,圖檔路徑
81,Umbreon Star,012/025,pokemon,57,ptcg100#57/tcg300#57,fail,pass,pass,否,500x698,0.7717,0.0,0.0056,白角 4/4（圓弧外係實心白背景）；畫布 500x698（非 429x600 標準）,apps/web/public/market-assets/d2671ca2b29d64bcf3d8bea8f6d83976403b401dc75a866ece944d0938b7c6d5.webp
84,Gengar & Mimikyu GX,103/095,pokemon,58,ptcg100#58/tcg300#58,fail,pass,pass,否,716x996,0.9859,0.0,0.0612,白角 4/4（圓弧外係實心白背景）；畫布 716x996（非 429x600 標準）,apps/web/public/market-assets/c44337a4c3aa3829b5ddf1285cfbb5cdaf581cb5218784f972875e9ec081778b.webp
75,Pikachu/Zekrom Gx,SM168,pokemon,59,ptcg100#59/tcg300#59,pass,未檢查,suspect,是,245x342,0.1087,0.0,0.2419,白邊（內環白佔 24%）；畫布 245x342（非 429x600 標準）,apps/web/public/market-assets/f560853004b14250455466fa5a16135943cb979aab1eac829e3995f8a7a1ef84.webp
109,Flareon EX,007/032,pokemon,60,ptcg100#60/tcg300#60,pass,未檢查,pass,是,429x600,0.0,0.0,0.0948,三項都過,apps/web/public/market-assets/228b7077fb44189aad2bdbe73876396253526c0e6567fccbafbb7584e3acf0fa.webp
86,Zekrom ex,174/086,pokemon,61,ptcg100#61/tcg300#61,pass,未檢查,pass,是,429x600,0.0,1.0,0.0,三項都過,apps/web/public/market-assets/9bb63d184773faa3260ddd7bbd65b6d4c7a0a01e4635f1e1569ebb9865325d41.webp
91,Rayquaza V,076/067,pokemon,62,ptcg100#62/tcg300#62,fail,pass,pass,否,716x1000,0.8164,0.0,0.011,白角 4/4（圓弧外係實心白背景）；畫布 716x1000（非 429x600 標準）,apps/web/public/market-assets/e150d812bb2aabaa304fa3e7acf55e91bc62905650aa639b12a1a86a3bf044a1.webp
83,Pikachu,025/165,pokemon,63,ptcg100#63/tcg300#63,pass,未檢查,pass,是,429x600,0.0,0.0,0.0019,三項都過,apps/web/public/market-assets/874dc4000b2a3f30c15b9d39d99b1cdb4abe2bcdedbf49c201106415c9a3d652.webp
88,Giratina VSTAR,261/172,pokemon,64,ptcg100#64/tcg300#64,fail,pass,pass,否,708x1000,0.4181,0.0,0.0025,淺色方角 2/4（圓弧外係淺灰背景）；畫布 708x1000（非 429x600 標準）,apps/web/public/market-assets/45809d962fbda2609990aeff33bf67118f7865fd8eadc730ed82eb287386a513.webp
94,Iono,096/071,pokemon,65,ptcg100#65/tcg300#65,pass,未檢查,pass,否,640x906,0.3697,0.0,0.0008,三項都過；畫布 640x906（非 429x600 標準）,apps/web/public/market-assets/1a9a34a525de31cc7f4be4def63783a7c623d07a438eb1d0fd0c125f0ebd20d7.webp
82,Special Delivery Charizard,SWSH075,pokemon,66,ptcg100#66/tcg300#66,pass,未檢查,pass,否,437x610,0.2662,0.0,0.0021,三項都過；畫布 437x610（非 429x600 標準）,apps/web/public/market-assets/907d9ed9a1ec6c2ff52428d3d9b599a4132bf996b49af93b4861130b98328d0a.webp
93,Umbreon & Darkrai GX,182/173,pokemon,67,ptcg100#67/tcg300#67,fail,pass,pass,否,716x996,0.9859,0.0,0.0591,白角 4/4（圓弧外係實心白背景）；畫布 716x996（非 429x600 標準）,apps/web/public/market-assets/412b1dc051115261caa08024c2f62b2b34c9ef30602714c3367a4071eb35dc19.webp
97,Sightseer,192/173,pokemon,68,ptcg100#68/tcg300#68,fail,pass,pass,否,716x999,1.0,0.0,0.0568,白角 4/4（圓弧外係實心白背景）；畫布 716x999（非 429x600 標準）,apps/web/public/market-assets/2d37f3265297641ebd919d5be3016fe19143efdea1ee1d78927ea6e89fe19577.webp
95,Lillie's Determination,091/063,pokemon,69,ptcg100#69/tcg300#69,pass,未檢查,pass,否,640x903,0.4437,0.0,0.001,三項都過；畫布 640x903（非 429x600 標準）,apps/web/public/market-assets/f1f94c63377fb5a59af6f86426a824555b22e4b34f13a1c2de1e56f3f1ba30b2.webp
92,Kanazawa Pikachu With Mark,144/S-P,pokemon,70,ptcg100#70/tcg300#70,pass,未檢查,pass,是,430x610,0.0,0.0,0.0068,三項都過；畫布 430x610（非 429x600 標準）,apps/web/public/market-assets/22e64afbbbd759cdc550f16eee92ebb00d0c8dbf0f159e39909cbd0026330a9c.webp
101,Arceus Vstar,GG70,pokemon,71,ptcg100#71/tcg300#71,pass,未檢查,pass,是,429x600,0.0,1.0,0.0423,三項都過,apps/web/public/market-assets/cffd143ecf60a5246f6cdf6ed295faaa0457c040787087804c3dded0df1af8fe.webp
100,Team Rocket's Mewtwo ex,125/098,pokemon,72,ptcg100#72/tcg300#72,pass,未檢查,pass,是,429x600,0.0,0.0,0.0009,三項都過,apps/web/public/market-assets/33a033f15af1cb06242d7975d02a43c114527ed674d7624094017cb11758c208.webp
99,Mew VMAX,119/100,pokemon,73,ptcg100#73/tcg300#73,pass,未檢查,pass,否,640x905,0.2993,0.0,0.0025,三項都過；畫布 640x905（非 429x600 標準）,apps/web/public/market-assets/76fe537e8b607c00a5a038def85e82d5ff7d3e83befa65c6d5b312b47fad9ced.webp
105,Umbreon,067/SV-P,pokemon,74,ptcg100#74/tcg300#74,pass,未檢查,pass,是,441x610,0.0,0.0,0.0178,三項都過；畫布 441x610（非 429x600 標準）,apps/web/public/market-assets/6f75e8381677f8bf51a1823ef7147399290a01c0d730e652f7544388c6ea3015.webp
120,Mewtwo & Mew GX,098/094,pokemon,75,ptcg100#75/tcg300#75,fail,pass,pass,否,716x996,0.9859,0.0,0.0614,白角 4/4（圓弧外係實心白背景）；畫布 716x996（非 429x600 標準）,apps/web/public/market-assets/962da0a86c69badaf064430c47299c775341ddec9b07f58e5cf035322ad58057.webp
115,Kingdra ex,131/SVP,pokemon,76,ptcg100#76/tcg300#76,pass,未檢查,pass,是,436x610,0.0,0.0,0.0,三項都過；畫布 436x610（非 429x600 標準）,apps/web/public/market-assets/87279d0d65d43fcdc5570174204c75a3475276b334bea4d4370a74cbca4b3452.webp
104,Rayquaza Vmax,TG20,pokemon,77,ptcg100#77/tcg300#77,pass,未檢查,pass,是,429x600,0.0,0.0,0.0693,三項都過,apps/web/public/market-assets/a952212b0c7ab5067413019f64a9aa31ebe00c7602db0d2ff3dbacb208af594f.webp
127,Mega Dragonite ex,246/193,pokemon,78,ptcg100#78/tcg300#78,pass,未檢查,pass,是,429x600,0.0,0.0,0.0,三項都過,apps/web/public/market-assets/97515e18ec3f484e0a253c875cd4e3423764ad2d08364cfb12556a4cf821718b.webp
133,Fukuoka's Pikachu,289/SV-P,pokemon,79,ptcg100#79/tcg300#79,pass,未檢查,pass,是,435x607,0.0,0.0,0.1133,三項都過；畫布 435x607（非 429x600 標準）,apps/web/public/market-assets/1f41290c06b6edae66a0e3fc517dd9b6934480459e3ab619edcfe36692a92ef7.webp
125,Manzai play Pikachu,407/SM-P,pokemon,80,ptcg100#80/tcg300#80,pass,未檢查,suspect,是,441x610,0.0719,0.0,0.1609,白邊（內環白佔 16%）；畫布 441x610（非 429x600 標準）,apps/web/public/market-assets/20d9ea0c072afc69e420fc6529e679b77b739946c3378f4b7775931abdf730a7.webp
113,Hiroshima's Pikachu,261/SV-P,pokemon,81,ptcg100#81/tcg300#81,fail,pass,pass,否,341x476,0.7667,0.0,0.0103,白角 4/4（圓弧外係實心白背景）；畫布 341x476（非 429x600 標準）,apps/web/public/market-assets/013aba6eeaab0b6751035d0e063285d566d0cb9682082018e8d48c09b070566b.webp
119,Pikachu,061/SM-P,pokemon,82,ptcg100#82/tcg300#82,pass,未檢查,pass,是,427x610,0.0,0.0,0.0,三項都過；畫布 427x610（非 429x600 標準）,apps/web/public/market-assets/d37a76b61d1e5c8a4fa73f5494d90701b70fcf8860b08c51c209e8b3528d9123.webp
114,Pikachu,1/SV-P,pokemon,83,ptcg100#83/tcg300#83,fail,pass,suspect,否,716x1000,0.8898,0.0,0.2045,白角 4/4（圓弧外係實心白背景）；白邊（內環白佔 20%）；畫布 716x1000（非 429x600 標準）,apps/web/public/market-assets/e781183ab1b9957e04f7a3a56793ce668368139cce13e3bedffd398cdc356638.webp
116,Charizard VSTAR,212/172,pokemon,84,ptcg100#84/tcg300#84,fail,pass,pass,否,707x1000,0.5,0.0,0.0068,淺色方角 2/4（圓弧外係淺灰背景）；畫布 707x1000（非 429x600 標準）,apps/web/public/market-assets/b5753527238b759e930d6a3e8f9d0e31dd183bbbb5cd837ca94195214532b096.webp
117,Pretend Tea Ceremony Pikachu,325/SM-P,pokemon,85,ptcg100#85/tcg300#85,pass,未檢查,pass,是,429x600,0.0,0.0,0.0,三項都過,apps/web/public/market-assets/0fccc66a98a549de2edef16030c78940d81831118049d749bf48985dc4a69ead.webp
126,Mewtwo VSTAR,221/172,pokemon,86,ptcg100#86/tcg300#86,fail,pass,pass,否,709x1000,0.6102,0.0,0.0115,白角 1/4（圓弧外係實心白背景）；畫布 709x1000（非 429x600 標準）,apps/web/public/market-assets/643b78775b29d87213839d45ec8321e182e3f8b722b07fe826434c9fcf83fe10.webp
129,Espeon VMAX,189/S-P,pokemon,87,ptcg100#87/tcg300#87,pass,pass,fail,是,441x610,0.0719,2.0,0.0657,歪斜（卡面邊緣斜 2px）；畫布 441x610（非 429x600 標準）,apps/web/public/market-assets/09b1bb914d56b08d45adbe758455f0d4d2e50d809fe483cdcb894164a6bcfb89.webp
130,Charizard VMAX,308/190,pokemon,88,ptcg100#88/tcg300#88,fail,pass,pass,否,716x1000,0.839,0.0,0.0244,白角 4/4（圓弧外係實心白背景）；畫布 716x1000（非 429x600 標準）,apps/web/public/market-assets/f9677e0154f6cf1f6d8caef952aa152491386029335e8454948c5e1ee9db860b.webp
122,Greninja ex,132/SVP,pokemon,89,ptcg100#89/tcg300#89,pass,未檢查,pass,是,441x610,0.0072,0.0,0.0084,三項都過；畫布 441x610（非 429x600 標準）,apps/web/public/market-assets/778d351660c175d83a2d7504449657725f2bf178c795112e4458a5383c823bb6.webp
173,Friends in Alola,401/SM-P,pokemon,90,ptcg100#90/tcg300#90,fail,pass,pass,否,716x1000,1.0,0.0,0.0673,白角 4/4（圓弧外係實心白背景）；畫布 716x1000（非 429x600 標準）,apps/web/public/market-assets/d7de49696430509f48b04e7cfaf2a4a7b96d5f0527884f35f76dd42b9353e6ba.webp
139,Charizard GX,209/150,pokemon,91,ptcg100#91/tcg300#91,pass,未檢查,pass,是,429x600,0.0,0.0,0.0088,三項都過,apps/web/public/market-assets/bf44b4098e2012110fed80e5f624ff98c8fe6bccd6dab6032c0cab53131bbad9.webp
142,Shibuya Pikachu,002/S-P,pokemon,92,ptcg100#92/tcg300#92,pass,未檢查,pass,是,430x610,0.0,0.0,0.0,三項都過；畫布 430x610（非 429x600 標準）,apps/web/public/market-assets/7440e60c96c2921858be08dfcad9a40b0062ae2907229e8e6f68f427f15836e1.webp
136,Pikachu,054/049,pokemon,93,ptcg100#93/tcg300#93,fail,pass,suspect,否,715x995,1.0,0.0,0.1243,白角 4/4（圓弧外係實心白背景）；白邊（內環白佔 12%）；畫布 715x995（非 429x600 標準）,apps/web/public/market-assets/adf9eac216e3e33d85a44723fa8be76d58c9af4d48e460cc7e5b6779dda9f4ee.webp
166,Tohoku's Pikachu,260/SV-P,pokemon,94,ptcg100#94/tcg300#94,pass,未檢查,suspect,是,436x608,0.0,0.0,0.1969,白邊（內環白佔 20%）；畫布 436x608（非 429x600 標準）,apps/web/public/market-assets/43116ccb2038074e3a42b0d1eecf5782948a9b715725c37082ec2486211b0e96.webp
144,Clefairy,381/SM-P,pokemon,95,ptcg100#95/tcg300#95,fail,pass,suspect,否,715x995,1.0,0.0,0.1605,白角 4/4（圓弧外係實心白背景）；白邊（內環白佔 16%）；畫布 715x995（非 429x600 標準）,apps/web/public/market-assets/3a3ba6e362bd2dae847e98a7e289e78c901759f9e4c083cb63aaf72aef82142a.webp
148,Lisia,104/096,pokemon,96,ptcg100#96/tcg300#96,pass,未檢查,pass,是,429x600,0.0,0.0,0.0256,三項都過,apps/web/public/market-assets/a7900dd3f28fdb2690e8cd43ac9bf39ebd1e83c28b74b8f48d696227a83d8675.webp
164,Victini,288/SV-P,pokemon,97,ptcg100#97/tcg300#97,pass,未檢查,pass,是,437x610,0.0,0.0,0.0,三項都過；畫布 437x610（非 429x600 標準）,apps/web/public/market-assets/10c1102403a42186e8faebfc3254257312db1d431a48fdbc7c16b03795286c9f.webp
153,Espeon ex,211/187,pokemon,98,ptcg100#98/tcg300#98,fail,pass,pass,否,716x1000,0.822,0.0,0.0035,白角 3/4（圓弧外係實心白背景）；畫布 716x1000（非 429x600 標準）,apps/web/public/market-assets/0216a58253dcffeefee7dc25bfa67d6c68c27e6f745820fe6d475bf3f680208f.webp
168,Mew EX,024/020,pokemon,99,ptcg100#99/tcg300#99,無圖可QC,無圖可QC,無圖可QC,,,,,,磁碟上冇對應圖檔，無法檢查,
143,Greninja ex,090/066,pokemon,100,ptcg100#100/tcg300#100,pass,未檢查,pass,否,640x903,0.3275,0.0,0.0021,三項都過；畫布 640x903（非 429x600 標準）,apps/web/public/market-assets/5069ba06be413d75148b5235a0069e9bcf7e62c4a4ed97803c512b1a01c8871f.webp
152,Reshiram & Charizard GX,097/095,pokemon,130,tcg300#130,fail,pass,pass,否,716x996,0.9859,0.0,0.0591,白角 4/4（圓弧外係實心白背景）；畫布 716x996（非 429x600 標準）,apps/web/public/market-assets/1baf1b44caf202fae5848a6be4415547cd239a72c7b9967a06c265d758715182.webp
154,Team Aqua's Kyogre EX,006/034,pokemon,131,tcg300#131,fail,pass,pass,否,716x998,0.9887,1.0,0.0511,白角 4/4（圓弧外係實心白背景）；畫布 716x998（非 429x600 標準）,apps/web/public/market-assets/93b91d0fb2b37eea3a7376a4646730d26392625b888189f4c40429968efa61d7.webp
162,Mew,017/036,pokemon,133,tcg300#133,fail,pass,pass,否,716x997,0.9887,0.0,0.0021,白角 4/4（圓弧外係實心白背景）；畫布 716x997（非 429x600 標準）,apps/web/public/market-assets/0f5184b318f0d0cdb7c13d7b6bdd28f972b0fcf80f16f586012a08bae1cfb00b.webp
159,Team Magma's Groudon EX,015/034,pokemon,134,tcg300#134,fail,pass,pass,否,716x998,0.9831,1.0,0.0424,白角 4/4（圓弧外係實心白背景）；畫布 716x998（非 429x600 標準）,apps/web/public/market-assets/510147856e9642ccbe593904b90c203598b578cbc7fc992cd6e0bfb9d4aaa64f.webp
149,Charizard EX,090/087,pokemon,135,tcg300#135,fail,pass,pass,否,716x996,0.7034,0.0,0.0032,白角 4/4（圓弧外係實心白背景）；畫布 716x996（非 429x600 標準）,apps/web/public/market-assets/d03962c4978af2161cb2b0ecafc6fb17281e7bdb22e53a8856d6649790799701.webp
161,Greninja Star,SWSH144,pokemon,136,tcg300#136,pass,未檢查,pass,是,437x610,0.0,0.0,0.0,三項都過；畫布 437x610（非 429x600 標準）,apps/web/public/market-assets/cb74c665aeb2c6baf50dfef6400b19c6de9720ecc4f94ecb738d7cfcd6649b3c.webp
165,Venusaur ex,200/165,pokemon,137,tcg300#137,pass,未檢查,pass,否,640x910,0.1655,0.0,0.0023,三項都過；畫布 640x910（非 429x600 標準）,apps/web/public/market-assets/23245709f89fe3115e18043551a5abb5f721526a91809f08e3d65e34bd5cb1d0.webp
155,Arceus VSTAR,262/172,pokemon,138,tcg300#138,fail,pass,pass,否,706x1000,0.4661,0.0,0.003,淺色方角 2/4（圓弧外係淺灰背景）；畫布 706x1000（非 429x600 標準）,apps/web/public/market-assets/b699423510e7f2f7f642367a3542cff66a523cb4b68fd5770fdc5d40c0509d1e.webp
167,Pikachu Seven-Eleven,001/S-P,pokemon,139,tcg300#139,pass,未檢查,suspect,是,441x610,0.0935,0.0,0.7078,白邊（內環白佔 71%）；畫布 441x610（非 429x600 標準）,apps/web/public/market-assets/6068a9178ee4440416d66e72cf344ac589a6013a39c8d028a23339f32cd7ea6e.webp
158,Easter's Pikachu,055/SM-P,pokemon,141,tcg300#141,pass,未檢查,pass,是,427x610,0.0,0.0,0.0,三項都過；畫布 427x610（非 429x600 標準）,apps/web/public/market-assets/bbedc60e785712b9880d86f501d12af0a2941082ff3e3310c715a8fcf3b29da4.webp
169,Member Pretend Pikachu,014/SM-P,pokemon,142,tcg300#142,pass,未檢查,pass,是,429x600,0.0,0.0,0.0,三項都過,apps/web/public/market-assets/e4ea3e9483a4c8e721193c9ac6e497cf9df0d2e6d6877a0fb45244ae4f72ce67.webp
174,Solgaleo & Lunala GX,063/049,pokemon,143,tcg300#143,fail,pass,pass,否,716x996,0.9859,0.0,0.0607,白角 4/4（圓弧外係實心白背景）；畫布 716x996（非 429x600 標準）,apps/web/public/market-assets/a55f959f35de2abab0a410a7e3a4967ca76dadd4572d7b90f39e6c3aac1bc23f.webp
170,Eevee,62/SV-P,pokemon,144,tcg300#144,pass,未檢查,pass,是,429x600,0.0,0.0,0.0149,三項都過,apps/web/public/market-assets/04e5801af7088fcdcde442aa9b63b81ad084347c767eb32be8a6ade3951fb603.webp
184,Mega Rayquaza EX,095/081,pokemon,147,tcg300#147,fail,pass,pass,否,716x998,0.8842,0.0,0.0079,白角 4/4（圓弧外係實心白背景）；畫布 716x998（非 429x600 標準）,apps/web/public/market-assets/791b29a28fcccf387ec5ed8ba24e686673275b293f3c6514c8f55f7f2d7dc5de.webp
186,Pikachu,224/SM-P,pokemon,148,tcg300#148,fail,pass,suspect,否,715x995,1.0,0.0,0.1389,白角 4/4（圓弧外係實心白背景）；白邊（內環白佔 14%）；畫布 715x995（非 429x600 標準）,apps/web/public/market-assets/2e71ab04322e6c764a9d8e2251384341d3f064f7a866547bd6b07eb124ab0c34.webp
176,Pikachu,173/165,pokemon,149,tcg300#149,fail,pass,pass,否,640x914,0.4014,0.0,0.0014,淺色方角 1/4（圓弧外係淺灰背景）；畫布 640x914（非 429x600 標準）,apps/web/public/market-assets/aab3feed1580831db9d5fe1a27b0a08da88fd3bf28dd8e6c44fadfee97f91807.webp
108,Mega Charizard X ex,223/193,pokemon,150,tcg300#150,pass,未檢查,pass,是,429x600,0.0,0.0,0.0,三項都過,apps/web/public/market-assets/1ff3ce88c1f7f292c2bb8bd6ebe7fb7d2d46a63added5912aafafb2910163a8c.webp
181,Erika's Hospitality,190/173,pokemon,151,tcg300#151,fail,pass,pass,否,716x999,1.0,0.0,0.0569,白角 4/4（圓弧外係實心白背景）；畫布 716x999（非 429x600 標準）,apps/web/public/market-assets/fd2b368c2e988e3902851f6d8a350e9d6bc6865bf9058607ce8756905a729e47.webp
193,Glaceon ex,206/187,pokemon,152,tcg300#152,fail,pass,pass,否,586x817,0.0413,0.0,0.0029,淺色方角 2/4（圓弧外係淺灰背景）；畫布 586x817（非 429x600 標準）,apps/web/public/market-assets/8bbd6b4aad02c055ca9801e03198c78c6b365e9d50d8c0dd1017bbd3d2a550f6.webp
182,Leafeon ex,200/187,pokemon,153,tcg300#153,fail,pass,pass,否,716x1000,0.8192,0.0,0.0033,白角 3/4（圓弧外係實心白背景）；畫布 716x1000（非 429x600 標準）,apps/web/public/market-assets/46f1a3f27f6e987af32185d9a5e586ab262530b4f27a0d2d9473b134822abf50.webp
177,Blastoise ex,202/165,pokemon,154,tcg300#154,pass,未檢查,pass,否,640x903,0.419,0.0,0.0007,三項都過；畫布 640x903（非 429x600 標準）,apps/web/public/market-assets/ae919572056d359e3fd29aa78d2f4a5f0dd7cc69c3ce9d9a0654b47a86bf0b45.webp
183,Lillie's Full Force,068/049,pokemon,155,tcg300#155,fail,pass,pass,否,716x996,0.9972,0.0,0.0356,白角 4/4（圓弧外係實心白背景）；畫布 716x996（非 429x600 標準）,apps/web/public/market-assets/9926f82846026ceb52de0f5f773139b662d03f0d13b4d7075588ed523ecd6a43.webp
172,Moltres & Zapdos & Articuno GX,060/054,pokemon,156,tcg300#156,pass,未檢查,pass,是,429x600,0.0,0.0,0.0,三項都過,apps/web/public/market-assets/90a8f7d8e62a852d474e137274acc490ef994da213e0f744e3cbff3c6ef62fde.webp
185,Marnie,068/060,pokemon,157,tcg300#157,fail,pass,pass,否,716x1000,0.8701,0.0,0.0501,白角 4/4（圓弧外係實心白背景）；畫布 716x1000（非 429x600 標準）,apps/web/public/market-assets/6f98dd93933bd0b3911ce466cc16cdf34a2e16d851cf7c5bbbb49f8436e34aed.webp
190,Shining Magikarp,010/025,pokemon,158,tcg300#158,fail,pass,pass,否,716x1000,0.709,0.0,0.0052,白角 4/4（圓弧外係實心白背景）；畫布 716x1000（非 429x600 標準）,apps/web/public/market-assets/b85e7d607e7f4621afbcb0c884609268eb165d375a2c60f7b4cdc4f9761731de.webp
189,Pikachu,073/071,pokemon,161,tcg300#161,fail,pass,pass,否,716x1000,0.8672,0.0,0.0725,白角 4/4（圓弧外係實心白背景）；畫布 716x1000（非 429x600 標準）,apps/web/public/market-assets/777ad3a2add156d2aba7ea5ea22d2461b5b1cd86dec68ac2ec11740a88743c34.webp
179,Mew,030/028,pokemon,163,tcg300#163,pass,未檢查,pass,否,565x800,0.0578,0.0,0.0027,三項都過；畫布 565x800（非 429x600 標準）,apps/web/public/market-assets/34481ead7a8267a3e9f1b9805643b3f9dace11a06b915b2ef1ba219695300095.webp
198,Pikachu wearing a poncho,037/SM-P,pokemon,164,tcg300#164,pass,未檢查,pass,是,430x610,0.0,0.0,0.0,三項都過；畫布 430x610（非 429x600 標準）,apps/web/public/market-assets/54f0739b8d2249405c61ef1682fa32bd8d4b39aca2c186ffc9d8cf857bfe16ba.webp
195,Charizard V,307/190,pokemon,165,tcg300#165,fail,未檢查,pass,否,716x1000,0.8333,0.0,0.0064,白角 4/4（圓弧外係實心白背景）；畫布 716x1000（非 429x600 標準）,apps/web/public/market-assets/38d361ee6fbb1263ebec77323d1836366f4ce97359ddb30f46a26c5d8ea73427.webp
160,Lillie's Clefairy ex,126/100,pokemon,166,tcg300#166,pass,未檢查,pass,否,640x903,0.507,0.0,0.0012,三項都過；畫布 640x903（非 429x600 標準）,apps/web/public/market-assets/d62617e73bd4546a3d2bc44fefc08f7ad150513c43dbcf4203fb419551863f29.webp
212,Flareon,065/SV-P,pokemon,167,tcg300#167,pass,未檢查,pass,是,441x610,0.0,0.0,0.0179,三項都過；畫布 441x610（非 429x600 標準）,apps/web/public/market-assets/9367b036d56c3a337ed56f2980bd29c4c5660da28ebb989090d1b23e3705acc9.webp
191,Vaporeon ex,205/187,pokemon,168,tcg300#168,fail,未檢查,pass,否,651x907,0.0404,0.0,0.0015,淺色方角 2/4（圓弧外係淺灰背景）；畫布 651x907（非 429x600 標準）,apps/web/public/market-assets/6727137210987d24ce21773a23d910dd7cd4200aba1eaba319ef41ce0706710f.webp
204,Gengar & Mimikyu GX,038/095,pokemon,169,tcg300#169,fail,未檢查,pass,否,716x997,0.9972,0.0,0.033,白角 4/4（圓弧外係實心白背景）；畫布 716x997（非 429x600 標準）,apps/web/public/market-assets/cbb93e8427f92ed9bc6a9742b00aca545418fea20efc64622dcfb6b0868b01fc.webp
201,Okuge,221/XY-P,pokemon,170,tcg300#170,pass,未檢查,pass,是,429x600,0.0,0.0,0.0,三項都過,apps/web/public/market-assets/b17a8074b2cb64d3a515dc5dfd94f79fde6946cc89ab8272bfac2582a264fadb.webp
213,Armored Mewtwo,365/SM-P,pokemon,171,tcg300#171,fail,未檢查,pass,否,715x994,1.0,0.0,0.0694,白角 4/4（圓弧外係實心白背景）；畫布 715x994（非 429x600 標準）,apps/web/public/market-assets/ba23e15834bac16ed1fb33cc39629972e926dab93868cf20cf5ae2cf238efd93.webp
207,Rosa,067/049,pokemon,172,tcg300#172,fail,未檢查,pass,否,716x996,0.9972,0.0,0.0361,白角 4/4（圓弧外係實心白背景）；畫布 716x996（非 429x600 標準）,apps/web/public/market-assets/4fd26cf793d96ad14fb2aa89fb19e74c3308b89b5d8dbb9f6049803b5cc297be.webp
205,Mew,183/172,pokemon,173,tcg300#173,fail,未檢查,pass,否,707x1000,0.726,0.0,0.0086,白角 1/4（圓弧外係實心白背景）；畫布 707x1000（非 429x600 標準）,apps/web/public/market-assets/08fc406518002ae230473ad044b2ef5ecaa4f58e935fd7d92e2c4f79f20485a6.webp
214,Flareon ex,202/187,pokemon,174,tcg300#174,fail,未檢查,pass,否,531x746,0.598,0.0,0.0034,淺色方角 2/4（圓弧外係淺灰背景）；畫布 531x746（非 429x600 標準）,apps/web/public/market-assets/f8bda95ddcfda9c3c30b54e7851a689d4a0193a4736c199c67b570242d6189fd.webp
219,Jolteon ex,209/187,pokemon,175,tcg300#175,fail,未檢查,pass,否,515x721,0.5326,0.0,0.0045,淺色方角 2/4（圓弧外係淺灰背景）；畫布 515x721（非 429x600 標準）,apps/web/public/market-assets/09a5e2a5396a7f961f77f779e1a93a9ba794e4e82dc732cc17aaf1383c1981f7.webp
215,Team Rocket's Mewtwo ex,237/193,pokemon,176,tcg300#176,pass,未檢查,pass,是,429x600,0.0,0.0,0.0,三項都過,apps/web/public/market-assets/0d3ea77a0a6f80df353f1e2de7f2ab48abd45cdbec95cd6595fc225758b93f45.webp
222,Marnie,198/190,pokemon,177,tcg300#177,fail,未檢查,pass,否,716x1000,0.8531,0.0,0.0431,白角 4/4（圓弧外係實心白背景）；畫布 716x1000（非 429x600 標準）,apps/web/public/market-assets/d1d221cf519708ecab1b7b2782c5adf418588e282181b0955858c9f96d6e6374.webp
187,Eevee ex,224/187,pokemon,178,tcg300#178,fail,未檢查,pass,否,716x1000,0.8362,0.0,0.0033,白角 2/4（圓弧外係實心白背景）；畫布 716x1000（非 429x600 標準）,apps/web/public/market-assets/dda1389bfc250ca09105c3ab5bfb2e17ec4350f07e2a59ad3333407e4f3b6558.webp
210,M Rayquaza EX,024/025,pokemon,179,tcg300#179,fail,未檢查,pass,否,716x1000,0.8136,0.0,0.004,白角 4/4（圓弧外係實心白背景）；畫布 716x1000（非 429x600 標準）,apps/web/public/market-assets/aacf41dda8524c88519744a2d158f3878220d59d08ccd88eac79c98c80ce7fd9.webp
218,Leafeon,068/SV-P,pokemon,180,tcg300#180,pass,未檢查,pass,是,441x610,0.0,0.0,0.0185,三項都過；畫布 441x610（非 429x600 標準）,apps/web/public/market-assets/09df78fc005c761d628280b2d09b349e359b6c8a933d505768047652742e9207.webp
229,Mega Dragonite ex,250/193,pokemon,181,tcg300#181,pass,未檢查,pass,是,429x600,0.0,0.0,0.0,三項都過,apps/web/public/market-assets/a8d59923130b77ec7d8a50ca1cec3ee1b787d59b703f0688ff238a71e4f7f45c.webp
223,Rayquaza VMAX,252/184,pokemon,182,tcg300#182,fail,未檢查,pass,否,716x1000,0.8023,0.0,0.0212,白角 4/4（圓弧外係實心白背景）；畫布 716x1000（非 429x600 標準）,apps/web/public/market-assets/fc8ede328c81069909669e8efda8ff0594260fde235ebb46ae784fd15c94cbe3.webp
196,Mewtwo,183/165,pokemon,183,tcg300#183,fail,未檢查,pass,否,500x711,0.625,0.0,0.0017,白角 1/4（圓弧外係實心白背景）；畫布 500x711（非 429x600 標準）,apps/web/public/market-assets/bb754c9555389a215eef6d89ecb20a44d7ce56d50a8e4d7cd03ec9ad0ac70aa9.webp
233,Kanazawa Pikachu No Mark S-P,147/S-P,pokemon,184,tcg300#184,pass,未檢查,pass,是,441x610,0.0,0.0,0.1129,三項都過；畫布 441x610（非 429x600 標準）,apps/web/public/market-assets/eb409f5315678421546a4447f1f9a02fef2c5bcc2e0e7ee8c5fe91f0397a266a.webp
